,provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
7453,220088,1699767491,NEW ENGLAND BAPTIST HOSPITAL,125 PARKER HILL AVENUE,BOSTON,MA,2120,25.0,42.32962595,-71.10682610302482,6177545800,00-09,01-01,False,,,1.0,118.0,22D0075292
7454,220090,1477527497,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,1757,27.0,42.1343297,-71.52812422966934,5084731190,00-09,01-01,True,,,1.0,121.0,22D0070843
7455,220098,1477859254,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,AYER,MA,1432,17.0,42.57735215,-71.57414587343038,9787849000,00-09,01-01,True,,,1.0,57.0,
7456,220105,1790740777,WINCHESTER HOSPITAL,41 HIGHLAND AVENUE,WINCHESTER,MA,1890,17.0,42.465802,-71.1227029917842,7817299000,00-09,01-01,True,,0005018,1.0,189.0,22D0072458
7457,220111,1881906337,GOOD SAMARITAN MEDICAL CENTER,235 NORTH PEARL STREET,BROCKTON,MA,2301,23.0,42.09805395,-71.0609587194362,5084273000,00-09,01-01,True,,,1.0,231.0,22D0704356
7458,220116,1730132515,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,2111,25.0,42.349439700000005,-71.06308467518953,6176365000,00-09,01-01,True,,,1.0,415.0,22D0074723
7459,220171,1558392563,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",41 & 45 MALL ROAD,BURLINGTON,MA,1803,17.0,42.4860853,-71.2084796,7817445100,00-09,01-01,True,,,1.0,327.0,22D0677827
7460,220175,1740252592,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,1701,17.0,42.2850066,-71.41911943738873,5083831000,00-09,01-01,True,,,1.0,360.0,
7461,223027,1962839316,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,250 POND STREET,BRAINTREE,MA,2184,21.0,42.1973953,-71.01806068617303,7818485353,00-09,01-05,False,,,1.0,187.0,
7462,223032,1265489736,SPAULDING REHABILITATION HOSPITAL - CAPE COD,311 SERVICE ROAD,EAST SANDWICH,MA,2537,1.0,41.73295675,-70.4672699191076,5088334262,00-09,01-05,False,,,1.0,60.0,22D0907335
7463,223033,1407827710,WHITTIER REHABILTATION HOSPITAL,150 FLANDERS ROAD,WESTBOROUGH,MA,1581,27.0,42.2770724,-71.5679154706427,5088712063,00-09,01-05,False,,,1.0,88.0,
7464,223034,1780600825,SPAULDING REHABILITATION HOSPITAL,300 FIRST AVENUE,CHARLESTOWN,MA,2129,25.0,42.378585650000005,-71.04908977417259,6177206400,00-09,01-05,False,,,1.0,132.0,
7465,224013,1821068818,"ARBOUR HOSPITAL, THE",49 ROBINWOOD AVENUE,BOSTON,MA,2130,25.0,42.316222,-71.112537,6175224400,00-09,01-04,False,,,1.0,118.0,22D0708950
7849,221303,1336120047,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,,42.58522105,-72.20868129339888,9782493511,00-85,,,,220003,,,
7914,221302,1730112251,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,LEE,MA,12389316,3.0,32.5814796,-85.3077038,4135280790,00-85,01-11,True,,,1.0,25.0,22D0068170
8432,,1497832646,MARTHA'S VINEYARD HOSPITAL INC,1 HOSPITAL RD,OAK BLUFFS,MA,25571406,,41.46063105,-70.57989080295974,5086930410,00-85,,,,,,,
9043,501335,1073674040,ST ELIZABETH HOSPITAL,1450 BATTERSBY AVENUE,ENUMCLAW,MA,980223634,33.0,47.20835848979592,-121.98816916326533,3608252505,00-85,01-11,True,,,10.0,25.0,50D0629894
9044,50Z335,1417105107,ENUMCLAW REGIONAL HOSPITAL ASSOCIATION,1455 BATTERSBY AVE,ENUMCLAW,MA,980223634,,47.2090304,-121.98777948294118,8888467304,00-85,,,,,,,
9093,22Z302,1174689467,FAIRVIEW HOSPITAL,29 LEWIS AVE,GREAT BARRINGTON,MA,12301713,,42.19093125,-73.3715000043024,4135280790,00-85,,,,,,,
10085,221300,1134206386,MARTHA'S VINEYARD HOSPITAL INC,"ONE HOSPITAL ROAD, FIRST FL, WING 5,  PO BOX 1477",OAK BLUFFS,MA,25571406,7.0,41.4538523,-70.5684713,5086930410,00-85,01-11,True,,,1.0,19.0,22D0080740
10116,221302,1730112251,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,3.0,42.19093125,-73.3715000043024,4135280790,00-85,01-11,True,,,1.0,25.0,22D0068170
10314,,1295027134,STEWARD ST. ANNES HOSPITAL CORPORATION,795 MIDDLE ST,FALL RIVER,MA,27211733,,41.6924092,-71.16345107025307,5086745600,12-Z1,,,,,,,
10406,,1093714412,"FIRST PSYCHIATRIC PLANNERS, INC",300 SOUTH ST,WOBURN,MA,18017906,,42.473347,-71.144086,6174690300,12-Z1,,,,,,,
10498,,1245773308,ASSOCIATED PHYSICIANS OF HARVARD MEDICAL FACULTY PHYSICIANS AT BETH IS,199 REEDSDALE RD,WALTHAM,MA,24511433,,42.3756401,-71.2358004,6176964600,12-Z1,,,,,,,
10525,,1477069391,HEBREW SENIORLIFE AFFILIATED MEDICAL GROUP INC,1200 CENTRE ST,ROSLINDALE,MA,21311000,,42.29768,-71.130463,6179715766,12-Z1,,,,,,,
10526,,1073021986,"MORTON HOSPITAL, A STEWARD FAMILY HOSPITAL, INC.",88 WASHINGTON ST,TAUNTON,MA,27802465,,41.9062805,-71.09518121351795,5088287881,12-Z1,,,,,,,
10530,,1922516053,"STEWARD GOOD SAMARITAN MEDICAL CENTER, INC.",235 N PEARL ST,BROCKTON,MA,23011794,,42.09805395,-71.0609587194362,5084272841,12-Z1,,,,,,,
10541,,1851809776,STEWARD NORWOOD HOSPITAL INC,800 WASHINGTON ST,NORWOOD,MA,20623487,,42.1886973,-71.2005241,7812784120,12-Z1,,,,,,,
10664,,1558937656,AP MEDICAL LLC,909 SUMNER ST,DARTMOUTH,MA,27473826,,41.6332267,-70.9879928,5089715190,12-Z1,,,,,,,
